Gesamt Gewinn (Mio):            4.024562
t                   Spot                SpeicherStand       Turbine             Pumpe               ErzKosten           StartKosten         Gen GuD
                 654               33.75                1075                   0                   0                  38               0.000                 200
                 655               32.49                1310                   0                 300                  38               0.000                 200
                 656               33.88                1320                   0                   0                  38               0.000                 200
                 657               36.85                1330                   0                   0                  38               0.000                 200
                 658               38.81                1340                   0                   0                  38               0.000                 500
                 659               39.72                1350                   0                   0                  38               0.000                 500
                 660               40.76                1360                   0                   0                  38               0.000                 500
                 661               40.15                1370                   0                   0                  38               0.000                 500
                 662               39.25                1380                   0                   0                  38               0.000                 500
                 663               39.06                1390                   0                   0                  38               0.000                 500
                 664               39.83                1400                   0                   0                  38               0.000                 500
                 665               41.15                1410                   0                   0                  38               0.000                 500
                 666               46.18                1120                 300                   0                  38               0.000                 500
                 667               46.08                 830                 300                   0                  38               0.000                 500
                 668               45.74                 540                 300                   0                  38               0.000                 500
                 669               41.77                 550                   0                   0                  38               0.000                 500
                 670               39.02                 560                   0                   0                  38               0.000                 500
                 671               37.03                 570                   0                   0                  38               0.000                   0
                 672               32.30                 805                   0                 300                  38               0.000                   0
                 673               24.76                1040                   0                 300                  39               0.000                   0
                 674               27.83                1275                   0                 300                  39               0.000                   0
                 675               26.31                1510                   0                 300                  39               0.000                   0
                 676               28.16                1745                   0                 300                  39               0.000                   0
                 677               29.68                1980                   0                 300                  39               0.000                   0
                 678               35.28                1990                   0                   0                  39               0.000                   0
                 679               43.27                2000                   0                   0                  39           10000.000                 500
                 680               53.90                1710                 300                   0                  39               0.000                 500
                 681               53.98                1420                 300                   0                  39               0.000                 500
                 682               53.67                1130                 300                   0                  39               0.000                 500
                 683               51.91                1140                   0                   0                  39               0.000                 500
                 684               51.99                1150                   0                   0                  39               0.000                 500
                 685               51.01                1160                   0                   0                  39               0.000                 500
                 686               52.95                1170                   0                   0                  39               0.000                 500
                 687               52.14                1180                   0                   0                  39               0.000                 500
                 688               53.99                 890                 300                   0                  39               0.000                 500
                 689               56.13                 600                 300                   0                  39               0.000                 500
                 690               60.07                 310                 300                   0                  39               0.000                 500
                 691               55.70                  20                 300                   0                  39               0.000                 500
                 692               50.65                  30                   0                   0                  39               0.000                 500
                 693               43.56                  40                   0                   0                  39               0.000                 500
                 694               40.23                 100                   0                  67                  39               0.000                 500
                 695               39.61                 335                   0                 300                  39               0.000                 500
                 696               36.16                 570                   0                 300                  39               0.000                 200
                 697               32.56                 805                   0                 300                  38               0.000                 200
                 698               31.51                1040                   0                 300                  38               0.000                 200
                 699               28.91                1275                   0                 300                  38               0.000                 200
                 700               28.38                1510                   0                 300                  38               0.000                 200
                 701               31.39                1745                   0                 300                  38               0.000                 200
                 702               35.79                1980                   0                 300                  38               0.000                 200
                 703               42.31                1990                   0                   0                  38               0.000                 500
                 704               53.00                2000                   0                   0                  38               0.000                 500
                 705               54.63                1950                  60                   0                  38               0.000                 500
                 706               52.50                1960                   0                   0                  38               0.000                 500
                 707               51.02                1970                   0                   0                  38               0.000                 500
                 708               50.95                1980                   0                   0                  38               0.000                 500
                 709               49.16                1990                   0                   0                  38               0.000                 500
                 710               53.90                2000                   0                   0                  38               0.000                 500
                 711               57.65                2000                  10                   0                  38               0.000                 500
                 712               62.74                1710                 300                   0                  38               0.000                 500
                 713               70.43                1420                 300                   0                  38               0.000                 500
                 714               80.10                1130                 300                   0                  38               0.000                 500
                 715               76.09                 840                 300                   0                  38               0.000                 500
                 716               72.79                 550                 300                   0                  38               0.000                 500
                 717               58.97                 260                 300                   0                  38               0.000                 500
                 718               53.10                 270                   0                   0                  38               0.000                 500
                 719               43.34                 345                   0                  87                  38               0.000                 500
                 720               39.53                 580                   0                 300                  38               0.000                 500
                 721               38.77                 815                   0                 300                  38               0.000                 500
                 722               39.92                1050                   0                 300                  38               0.000                 500
                 723               39.70                1285                   0                 300                  38               0.000                 500
                 724               39.73                1520                   0                 300                  38               0.000                 500
                 725               39.50                1755                   0                 300                  38               0.000                 500
                 726               40.79                1990                   0                 300                  38               0.000                 500
                 727               52.54                2000                   0                   0                  38               0.000                 500
                 728               60.52                2000                  10                   0                  38               0.000                 500
                 729               68.90                1710                 300                   0                  38               0.000                 500
                 730               65.93                1420                 300                   0                  38               0.000                 500
                 731               61.02                1130                 300                   0                  38               0.000                 500
                 732               60.68                1130                  10                   0                  38               0.000                 500
                 733               59.12                1140                   0                   0                  38               0.000                 500
                 734               59.05                1150                   0                   0                  38               0.000                 500
                 735               59.82                1160                   0                   0                  38               0.000                 500
                 736               60.69                 870                 300                   0                  38               0.000                 500
                 737               63.29                 580                 300                   0                  38               0.000                 500
                 738               71.05                 290                 300                   0                  38               0.000                 500
                 739               63.50                   0                 300                   0                  38               0.000                 500
                 740               55.90                  10                   0                   0                  38               0.000                 500
                 741               53.95                  20                   0                   0                  38               0.000                 500
                 742               46.96                  30                   0                   0                  38               0.000                 500
                 743               40.76                 265                   0                 300                  38               0.000                 500
                 744               38.61                 500                   0                 300                  38               0.000                 500
                 745               38.62                 735                   0                 300                  38               0.000                 500
                 746               37.59                 970                   0                 300                  38               0.000                 200
                 747               37.05                1205                   0                 300                  38               0.000                 200
                 748               37.67                1440                   0                 300                  38               0.000                 200
                 749               38.39                1675                   0                 300                  38               0.000                 500
                 750               39.96                1910                   0                 300                  38               0.000                 500
                 751               46.72                1920                   0                   0                  38               0.000                 500
                 752               57.98                1930                   0                   0                  38               0.000                 500
                 753               58.40                1640                 300                   0                  38               0.000                 500
                 754               58.93                1350                 300                   0                  38               0.000                 500
                 755               59.16                1060                 300                   0                  38               0.000                 500
                 756               59.11                 770                 300                   0                  38               0.000                 500
                 757               56.28                 780                   0                   0                  38               0.000                 500
                 758               58.09                 790                   0                   0                  38               0.000                 500
                 759               57.32                 800                   0                   0                  38               0.000                 500
                 760               58.13                 810                   0                   0                  38               0.000                 500
                 761               59.86                 520                 300                   0                  38               0.000                 500
                 762               63.38                 230                 300                   0                  38               0.000                 500
                 763               55.58                 240                   0                   0                  38               0.000                 500
                 764               53.92                 250                   0                   0                  38               0.000                 500
                 765               51.98                 260                   0                   0                  38               0.000                 500
                 766               43.77                 295                   0                  33                  38               0.000                 500
                 767               40.13                 530                   0                 300                  38               0.000                 500
                 768               37.10                 765                   0                 300                  38               0.000                   0
                 769               27.01                1000                   0                 300                  38               0.000                   0
