
Umsatz:      971552.88

h    Fuellstand    Turbinierleistung    Pumpleistung
220   1225.00               0.00          300.00
221   1460.00               0.00          300.00
222   1695.00               0.00          300.00
223   1705.00               0.00            0.00
224   1715.00               0.00            0.00
225   1425.00             300.00            0.00
226   1400.00              35.00            0.00
227   1410.00               0.00            0.00
228   1420.00               0.00            0.00
229   1430.00               0.00            0.00
230   1440.00               0.00            0.00
231   1450.00               0.00            0.00
232   1160.00             300.00            0.00
233    870.00             300.00            0.00
234    580.00             300.00            0.00
235    290.00             300.00            0.00
236      0.00             300.00            0.00
237      0.00              10.00            0.00
238     10.00               0.00            0.00
239     20.00               0.00            0.00
240     30.00               0.00            0.00
241    265.00               0.00          300.00
242    500.00               0.00          300.00
243    735.00               0.00          300.00
244    970.00               0.00          300.00
245   1205.00               0.00          300.00
246   1440.00               0.00          300.00
247   1450.00               0.00            0.00
248   1460.00               0.00            0.00
249   1170.00             300.00            0.00
250   1180.00               0.00            0.00
251   1190.00               0.00            0.00
252   1200.00               0.00            0.00
253   1210.00               0.00            0.00
254   1220.00               0.00            0.00
255   1230.00               0.00            0.00
256   1240.00               0.00            0.00
257    950.00             300.00            0.00
258    660.00             300.00            0.00
259    370.00             300.00            0.00
260     80.00             300.00            0.00
261      0.00              90.00            0.00
262      0.00              10.00            0.00
263      0.00              10.00            0.00
264      0.00              10.00            0.00
265     10.00               0.00            0.00
266     20.00               0.00            0.00
267     30.00               0.00            0.00
268    265.00               0.00          300.00
269    500.00               0.00          300.00
270    735.00               0.00          300.00
271    745.00               0.00            0.00
272    755.00               0.00            0.00
273    765.00               0.00            0.00
274    775.00               0.00            0.00
275    785.00               0.00            0.00
276    795.00               0.00            0.00
277    805.00               0.00            0.00
278    815.00               0.00            0.00
279    825.00               0.00            0.00
280    835.00               0.00            0.00
281    845.00               0.00            0.00
282    555.00             300.00            0.00
283    265.00             300.00            0.00
284      0.00             275.00            0.00
285     10.00               0.00            0.00
286     20.00               0.00            0.00
287     30.00               0.00            0.00
288     40.00               0.00            0.00
289     50.00               0.00            0.00
290     60.00               0.00            0.00
291     70.00               0.00            0.00
292    305.00               0.00          300.00
293    540.00               0.00          300.00
294    775.00               0.00          300.00
295    785.00               0.00            0.00
296    795.00               0.00            0.00
297    805.00               0.00            0.00
298    815.00               0.00            0.00
299    825.00               0.00            0.00
300    835.00               0.00            0.00
301    845.00               0.00            0.00
302    855.00               0.00            0.00
303    865.00               0.00            0.00
304    875.00               0.00            0.00
305    885.00               0.00            0.00
306    595.00             300.00            0.00
307    305.00             300.00            0.00
308     15.00             300.00            0.00
309     25.00               0.00            0.00
310     35.00               0.00            0.00
311     45.00               0.00            0.00
312     55.00               0.00            0.00
313    290.00               0.00          300.00
314    525.00               0.00          300.00
315    760.00               0.00          300.00
316    995.00               0.00          300.00
317   1230.00               0.00          300.00
318   1465.00               0.00          300.00
319   1700.00               0.00          300.00
320   1935.00               0.00          300.00
321   1980.00               0.00           46.67
322   1990.00               0.00            0.00
323   2000.00               0.00            0.00
324   2000.00              10.00            0.00
325   1745.00             265.00            0.00
326   1755.00               0.00            0.00
327   1765.00               0.00            0.00
328   1775.00               0.00            0.00
329   1485.00             300.00            0.00
330   1195.00             300.00            0.00
331    905.00             300.00            0.00
332    615.00             300.00            0.00
333    325.00             300.00            0.00
334    335.00               0.00            0.00
335    345.00               0.00            0.00
336    580.00               0.00          300.00
337    815.00               0.00          300.00
338   1050.00               0.00          300.00
339   1285.00               0.00          300.00
340   1520.00               0.00          300.00
341   1755.00               0.00          300.00
342   1990.00               0.00          300.00
343   2000.00               0.00            0.00
344   2000.00              10.00            0.00
345   1710.00             300.00            0.00
346   1715.00               5.00            0.00
347   1725.00               0.00            0.00
348   1735.00               0.00            0.00
349   1745.00               0.00            0.00
350   1755.00               0.00            0.00
351   1765.00               0.00            0.00
352   1475.00             300.00            0.00
353   1185.00             300.00            0.00
354    895.00             300.00            0.00
355    605.00             300.00            0.00
356    315.00             300.00            0.00
357    325.00               0.00            0.00
358    335.00               0.00            0.00
359    345.00               0.00            0.00
360    580.00               0.00          300.00
361    815.00               0.00          300.00
362   1050.00               0.00          300.00
363   1285.00               0.00          300.00
364   1520.00               0.00          300.00
365   1755.00               0.00          300.00
366   1990.00               0.00          300.00
367   2000.00               0.00            0.00
368   2000.00              10.00            0.00
369   1990.00              20.00            0.00
370   2000.00               0.00            0.00
371   2000.00              10.00            0.00
372   1980.00              30.00            0.00
373   1990.00               0.00            0.00
374   2000.00               0.00            0.00
375   2000.00              10.00            0.00
376   1925.00              85.00            0.00
377   1635.00             300.00            0.00
378   1345.00             300.00            0.00
379   1055.00             300.00            0.00
380    765.00             300.00            0.00
381    775.00               0.00            0.00
382    785.00               0.00            0.00
383    795.00               0.00            0.00
384    805.00               0.00            0.00
385   1040.00               0.00          300.00
386   1275.00               0.00          300.00
387   1510.00               0.00          300.00
388   1745.00               0.00          300.00
389   1980.00               0.00          300.00
390   1990.00               0.00            0.00
391   2000.00               0.00            0.00
392   2000.00              10.00            0.00
393   1710.00             300.00            0.00
394   1700.00              20.00            0.00
395   1710.00               0.00            0.00
396   1720.00               0.00            0.00
397   1730.00               0.00            0.00
398   1740.00               0.00            0.00
399   1450.00             300.00            0.00
400   1160.00             300.00            0.00
401    870.00             300.00            0.00
402    580.00             300.00            0.00
403    290.00             300.00            0.00
404      0.00             300.00            0.00
405      0.00              10.00            0.00
406     10.00               0.00            0.00
407     20.00               0.00            0.00
408     30.00               0.00            0.00
409     40.00               0.00            0.00
410    275.00               0.00          300.00
411    510.00               0.00          300.00
412    745.00               0.00          300.00
413    980.00               0.00          300.00
414   1215.00               0.00          300.00
415   1225.00               0.00            0.00
416   1235.00               0.00            0.00
417    945.00             300.00            0.00
418    955.00               0.00            0.00
419    965.00               0.00            0.00
420    975.00               0.00            0.00
421    985.00               0.00            0.00
422    995.00               0.00            0.00
423   1005.00               0.00            0.00
424   1015.00               0.00            0.00
425    885.00             140.00            0.00
426    595.00             300.00            0.00
427    305.00             300.00            0.00
428    315.00               0.00            0.00
429    325.00               0.00            0.00
430    335.00               0.00            0.00
431    345.00               0.00            0.00
432    580.00               0.00          300.00
433    815.00               0.00          300.00
434   1050.00               0.00          300.00
435   1285.00               0.00          300.00
436   1520.00               0.00          300.00
437   1755.00               0.00          300.00
438   1990.00               0.00          300.00
439   2000.00               0.00            0.00
440   2000.00              10.00            0.00
441   1710.00             300.00            0.00
442   1420.00             300.00            0.00
443   1130.00             300.00            0.00
444    840.00             300.00            0.00
445    850.00               0.00            0.00
446    860.00               0.00            0.00
447    860.00              10.00            0.00
448    870.00               0.00            0.00
449    580.00             300.00            0.00
450    290.00             300.00            0.00
451      0.00             300.00            0.00
452      0.00              10.00            0.00
453     10.00               0.00            0.00
454     20.00               0.00            0.00
455     30.00               0.00            0.00
456     40.00               0.00            0.00
457     50.00               0.00            0.00
458     60.00               0.00            0.00
459     70.00               0.00            0.00
460    130.00               0.00           66.67
461    365.00               0.00          300.00
462    600.00               0.00          300.00
463    610.00               0.00            0.00
464    620.00               0.00            0.00
465    630.00               0.00            0.00
466    640.00               0.00            0.00
467    650.00               0.00            0.00
468    660.00               0.00            0.00
469    670.00               0.00            0.00
470    680.00               0.00            0.00
471    690.00               0.00            0.00
472    700.00               0.00            0.00
473    710.00               0.00            0.00
474    420.00             300.00            0.00
475    130.00             300.00            0.00
476    140.00               0.00            0.00
477    150.00               0.00            0.00
478    160.00               0.00            0.00
479    170.00               0.00            0.00
480    405.00               0.00          300.00
481    415.00               0.00            0.00
482    650.00               0.00          300.00
483    885.00               0.00          300.00
484   1120.00               0.00          300.00
485   1355.00               0.00          300.00
486   1590.00               0.00          300.00
487   1825.00               0.00          300.00
488   1835.00               0.00            0.00
489   1845.00               0.00            0.00
490   1855.00               0.00            0.00
491   1865.00               0.00            0.00
492   1875.00               0.00            0.00
493   1885.00               0.00            0.00
494   1895.00               0.00            0.00
495   1905.00               0.00            0.00
496   1915.00               0.00            0.00
497   1925.00               0.00            0.00
498   1635.00             300.00            0.00
499   1345.00             300.00            0.00
500   1055.00             300.00            0.00
501    765.00             300.00            0.00
502    775.00               0.00            0.00
503    785.00               0.00            0.00
504    795.00               0.00            0.00
505    805.00               0.00            0.00
506   1040.00               0.00          300.00
507   1275.00               0.00          300.00
508   1510.00               0.00          300.00
509   1745.00               0.00          300.00
510   1980.00               0.00          300.00
511   1990.00               0.00            0.00
512   2000.00               0.00            0.00
513   1710.00             300.00            0.00
514   1420.00             300.00            0.00
515   1430.00               0.00            0.00
516   1440.00               0.00            0.00
517   1450.00               0.00            0.00
518   1460.00               0.00            0.00
519   1170.00             300.00            0.00
520    880.00             300.00            0.00
521    590.00             300.00            0.00
522    300.00             300.00            0.00
523     10.00             300.00            0.00
524     20.00               0.00            0.00
525     30.00               0.00            0.00
526    110.00               0.00           93.33
527    345.00               0.00          300.00
528    580.00               0.00          300.00
529    815.00               0.00          300.00
530   1050.00               0.00          300.00
531   1285.00               0.00          300.00
532   1520.00               0.00          300.00
533   1755.00               0.00          300.00
534   1990.00               0.00          300.00
535   2000.00               0.00            0.00
536   1985.00              25.00            0.00
537   1695.00             300.00            0.00
538   1405.00             300.00            0.00
539   1115.00             300.00            0.00
540   1125.00               0.00            0.00
541   1135.00               0.00            0.00
542   1145.00               0.00            0.00
543   1155.00               0.00            0.00
544   1165.00               0.00            0.00
545   1175.00               0.00            0.00
546    885.00             300.00            0.00
547    595.00             300.00            0.00
548    305.00             300.00            0.00
549    315.00               0.00            0.00
550    325.00               0.00            0.00
551    335.00               0.00            0.00
552    570.00               0.00          300.00
553    805.00               0.00          300.00
554   1040.00               0.00          300.00
555   1275.00               0.00          300.00
556   1510.00               0.00          300.00
557   1745.00               0.00          300.00
558   1980.00               0.00          300.00
559   1990.00               0.00            0.00
560   2000.00               0.00            0.00
561   1710.00             300.00            0.00
562   1420.00             300.00            0.00
563   1130.00             300.00            0.00
564   1140.00               0.00            0.00
565   1150.00               0.00            0.00
566   1160.00               0.00            0.00
567    870.00             300.00            0.00
568    580.00             300.00            0.00
569    290.00             300.00            0.00
570      0.00             300.00            0.00
571      0.00              10.00            0.00
572     10.00               0.00            0.00
573     20.00               0.00            0.00
574     30.00               0.00            0.00
575     40.00               0.00            0.00
576    275.00               0.00          300.00
577    510.00               0.00          300.00
578    745.00               0.00          300.00
579    980.00               0.00          300.00
580   1215.00               0.00          300.00
581   1450.00               0.00          300.00
582   1685.00               0.00          300.00
583   1695.00               0.00            0.00
584   1405.00             300.00            0.00
585   1115.00             300.00            0.00
586   1125.00               0.00            0.00
587   1135.00               0.00            0.00
588   1145.00               0.00            0.00
589   1155.00               0.00            0.00
590   1165.00               0.00            0.00
591   1160.00              15.00            0.00
592    870.00             300.00            0.00
593    580.00             300.00            0.00
594    290.00             300.00            0.00
595      0.00             300.00            0.00
596      0.00              10.00            0.00
597     10.00               0.00            0.00
598     20.00               0.00            0.00
599     30.00               0.00            0.00
600     40.00               0.00            0.00
601    275.00               0.00          300.00
602    510.00               0.00          300.00
603    745.00               0.00          300.00
604    980.00               0.00          300.00
605   1215.00               0.00          300.00
606   1450.00               0.00          300.00
607   1460.00               0.00            0.00
608   1470.00               0.00            0.00
609   1480.00               0.00            0.00
610   1190.00             300.00            0.00
611   1200.00               0.00            0.00
612   1210.00               0.00            0.00
613   1130.00              90.00            0.00
614   1140.00               0.00            0.00
615   1150.00               0.00            0.00
616   1160.00               0.00            0.00
617    870.00             300.00            0.00
618    580.00             300.00            0.00
619    290.00             300.00            0.00
620      0.00             300.00            0.00
621     10.00               0.00            0.00
622     20.00               0.00            0.00
623     30.00               0.00            0.00
624     40.00               0.00            0.00
625     50.00               0.00            0.00
626     60.00               0.00            0.00
627     70.00               0.00            0.00
628     80.00               0.00            0.00
629     90.00               0.00            0.00
630    100.00               0.00            0.00
631    110.00               0.00            0.00
632    120.00               0.00            0.00
633    130.00               0.00            0.00
634    140.00               0.00            0.00
635    150.00               0.00            0.00
636    160.00               0.00            0.00
637    170.00               0.00            0.00
638    180.00               0.00            0.00
639    190.00               0.00            0.00
640    200.00               0.00            0.00
641    210.00               0.00            0.00
642    220.00               0.00            0.00
643      0.00             230.00            0.00
644     10.00               0.00            0.00
645     20.00               0.00            0.00
646     30.00               0.00            0.00
647     40.00               0.00            0.00
648     50.00               0.00            0.00
649    125.00               0.00           86.67
650    360.00               0.00          300.00
651    595.00               0.00          300.00
652    830.00               0.00          300.00
653   1065.00               0.00          300.00
654   1075.00               0.00            0.00
655   1310.00               0.00          300.00
656   1320.00               0.00            0.00
657   1330.00               0.00            0.00
658   1340.00               0.00            0.00
659   1350.00               0.00            0.00
660   1360.00               0.00            0.00
661   1370.00               0.00            0.00
662   1380.00               0.00            0.00
663   1390.00               0.00            0.00
664   1400.00               0.00            0.00
665   1410.00               0.00            0.00
666   1120.00             300.00            0.00
667    830.00             300.00            0.00
668    540.00             300.00            0.00
669    550.00               0.00            0.00
670    560.00               0.00            0.00
671    570.00               0.00            0.00
672    805.00               0.00          300.00
673   1040.00               0.00          300.00
674   1275.00               0.00          300.00
675   1510.00               0.00          300.00
676   1745.00               0.00          300.00
677   1980.00               0.00          300.00
678   1990.00               0.00            0.00
679   2000.00               0.00            0.00
680   1710.00             300.00            0.00
681   1420.00             300.00            0.00
682   1130.00             300.00            0.00
683   1140.00               0.00            0.00
684   1150.00               0.00            0.00
685   1160.00               0.00            0.00
686   1170.00               0.00            0.00
687   1180.00               0.00            0.00
688    890.00             300.00            0.00
689    600.00             300.00            0.00
690    310.00             300.00            0.00
691     20.00             300.00            0.00
692     30.00               0.00            0.00
693     40.00               0.00            0.00
694    100.00               0.00           66.67
695    335.00               0.00          300.00
696    570.00               0.00          300.00
697    805.00               0.00          300.00
698   1040.00               0.00          300.00
699   1275.00               0.00          300.00
700   1510.00               0.00          300.00
701   1745.00               0.00          300.00
702   1980.00               0.00          300.00
703   1990.00               0.00            0.00
704   2000.00               0.00            0.00
705   1950.00              60.00            0.00
706   1960.00               0.00            0.00
707   1970.00               0.00            0.00
708   1980.00               0.00            0.00
709   1990.00               0.00            0.00
710   2000.00               0.00            0.00
711   2000.00              10.00            0.00
712   1710.00             300.00            0.00
713   1420.00             300.00            0.00
714   1130.00             300.00            0.00
715    840.00             300.00            0.00
716    550.00             300.00            0.00
717    260.00             300.00            0.00
718    270.00               0.00            0.00
719    345.00               0.00           86.67
720    580.00               0.00          300.00
721    815.00               0.00          300.00
722   1050.00               0.00          300.00
723   1285.00               0.00          300.00
724   1520.00               0.00          300.00
725   1755.00               0.00          300.00
726   1990.00               0.00          300.00
727   2000.00               0.00            0.00
728   2000.00              10.00            0.00
729   1710.00             300.00            0.00
730   1420.00             300.00            0.00
731   1130.00             300.00            0.00
732   1130.00              10.00            0.00
733   1140.00               0.00            0.00
734   1150.00               0.00            0.00
735   1160.00               0.00            0.00
736    870.00             300.00            0.00
737    580.00             300.00            0.00
738    290.00             300.00            0.00
739      0.00             300.00            0.00
740     10.00               0.00            0.00
741     20.00               0.00            0.00
742     30.00               0.00            0.00
743    265.00               0.00          300.00
744    500.00               0.00          300.00
745    735.00               0.00          300.00
746    970.00               0.00          300.00
747   1205.00               0.00          300.00
748   1440.00               0.00          300.00
749   1675.00               0.00          300.00
750   1910.00               0.00          300.00
751   1920.00               0.00            0.00
752   1930.00               0.00            0.00
753   1640.00             300.00            0.00
754   1350.00             300.00            0.00
755   1060.00             300.00            0.00
756    770.00             300.00            0.00
757    780.00               0.00            0.00
758    790.00               0.00            0.00
759    800.00               0.00            0.00
760    810.00               0.00            0.00
761    520.00             300.00            0.00
762    230.00             300.00            0.00
763    240.00               0.00            0.00
764    250.00               0.00            0.00
765    260.00               0.00            0.00
766    295.00               0.00           33.33
767    530.00               0.00          300.00
768    765.00               0.00          300.00
769   1000.00               0.00          300.00
